stat,trip_id,wh.km-1,speed,power,current,current_phase,temperature,motor_temperature,battery_temperature,safety_margin
min,0,-71.08945969884853,3.01,-4013.0,-27.15,-60.5,21.0,,15.0,15.0
max,0,478.38709677419354,64.99,7282.0,51.15,59.6,28.0,,24.0,100.0
mean,0,31.081071871061315,33.12724737532808,1222.5940507436571,8.681068460192476,10.913440507436569,23.366251093613297,,17.50174978127734,54.939523184601924
std_dev,0,37.21994933172473,17.15762099665772,1613.8430977806433,11.504605477862444,14.37010465951336,1.4331287982629073,,1.799290513725758,22.163505925159345
min,1,-329.04312668463615,3.01,-4883.0,-35.4,-100.5,20.0,,17.0,0.0
max,1,2459.170013386881,64.99,18370.0,136.8,84.4,35.0,,32.0,100.0
mean,1,33.606397284364405,33.95794420803782,1388.8889834515367,10.020828368794326,12.313002364066193,27.645673758865247,,23.127659574468087,53.90817966903073
std_dev,1,44.25539563880797,18.45627100445096,1743.883029122387,12.65054048095678,14.84490419164568,2.5618385572670097,,2.821625726348927,23.063845568952043
min,2,-95.43795620437956,3.01,-4663.0,-31.65,-58.1,23.0,,19.0,20.0
max,2,542.964824120603,64.99,8426.0,61.35,66.7,37.0,,35.0,100.0
mean,2,40.21455721177535,41.7050692124105,1766.1732696897375,12.477899761336516,13.567684964200478,30.76420047732697,,25.14653937947494,46.04868735083532
std_dev,2,53.938181230716815,16.92205098768698,2305.20603306354,16.26039289958217,20.951040192188714,3.203352696546479,,4.405107546683915,21.23400610410878
